Federação,Link notícias,Link site,Instagram,Facebook,Twitter,YouTube,Outros Links
Sindipetro SP,https://sindipetrosp.org.br/noticias/,https://sindipetrosp.org.br/,@sindipetrosp,/sindipetrosp,@sindipetrosp,@TVPetroleiros,https://linktr.ee/unificadosp
Sindipetro RJ,-,https://sindipetro.org.br/,@sindipetrorj,/sindipetrorj,@sindipetrorj,@sindipetro-rj,https://lnk.bio/SindipetroRJ?fbclic
Sindipetro NF,https://sindipetronf.org.br/noticias-do-nf/,https://sindipetronf.org.br/,@sindipetronf,/sindipetronf,@Sindipetronf,@Sindipetronf,
Sindipetro Caxias,https://sindipetrocaxias.org.br/category/noticias/,https://sindipetrocaxias.org.br/,@sindipetrocaxias,/SindipetroCaxias,@SindpetroCaxias,@SindipetroCaxias,https://linktr.ee/SindipetroCaxias
Sindipetro BA,https://www.sindipetroba.org.br/2019/noticias/,https://www.sindipetroba.org.br/2019/,@sindipetroba,/sindipetroBa,@SindipetroBahia,@SindipetroBahiaOficial,https://linktr.ee/sindipetroba
Sindipetro PR/SC,https://sindipetroprsc.org.br/noticias/,https://sindipetroprsc.org.br/,@sindipetroprsc,/sindicatodospetroleiros,@SindipetroPRSC,@PetroleirosPRSC,https://linktr.ee/sindipetroprsc
Sindipetro PE/PB,https://sindipetropepb.org.br/noticias/,https://sindipetropepb.org.br/,@sindipetropepb,/sindipetropepb,@sindipetropepb,Sim,https://linktr.ee/sindipetropepb
Sindipetro RN,https://www.sindipetrorn.org.br/noticias/,https://www.sindipetrorn.org.br/,@sindipetrorn,/sindipetro.rn,@TVSindipetroRN,,
Sindipetro RS,https://sindipetro-rs.org.br/todas-as-noticias/,https://sindipetro-rs.org.br/,@sindipetrors,/sindipetrors,@SindipetroR,@SINDIPETRORSoficial,
Sindipetro PA/AM/MA/AP,https://www.sindipetroamazonia.org.br/category/noticias/,https://www.sindipetroamazonia.org.br/,@sindipetroamazonia,/SindipetroAmazonia,,,https://linktr.ee/SindipetroAmazonia
Sindipetro AM,-,https://sindipetroam.org.br/,@sindipetroam,/sindipetroam,,,
Sindipetro CE/PI,-,https://sindipetrocepi.org.br/,@sindipetro,/SINDIPETRO,@sindipetroce_pi,@sindipetrocepi3124,
Sindipetro AL/SE,-,https://sindipetroal.se.org/,@sindipetroalse,/sindipetroalse,,@sindipetroalse5295,https://linktr.ee/sindipetroalse
Sindipetro LP,https://www.sindipetrolp.org.br/noticias/,https://sindipetrolp.org.br/,@sindipetrolp,/sindipetrolp,@ImprensaSindipetroLP,,https://linkr.bio/sindipetrolp?fbclic
Sindipetro MG,https://sindipetro.org/category/c2-noticias/,https://sindipetro.org/,@sindipetromg,/SindipetroMG,@SindipetroMG,@SindipetroMGtv,https://linktr.ee/sindipetromg
Sindipetro ES,-,https://sindipetroes.org.br/,@sindipetro_es,/sindipetroES,@sindipetro_es,@SindipetroESOficial,https://linktr.ee/sindipetroes
Sindipetro SJC,https://www.sindipetrosjc.org.br/noticias,https://www.sindipetrosjc.org.br/,@sindipetrosjc,/sindipetrosjc,@sindipetrosjc,,https://linktr.ee/sindipetrosjc
FUP,https://fup.org.br/noticias/,https://fup.org.br/,@fupbrasil,/FUPBRASIL,@FUP_Brasil,@FUPBRASIL,https://linktr.ee/fupbrasil
FNP,-,https://fnpetroleiros.org.br/,@fnpetroleiros,/petroleiros,@FnpPetroleiros,@fnpfederacaonacionaldospet1492,https://linktr.ee/fnpetroleiros
